Sexo;Total_Nacional;CCAA;Tipo_de_accidente;Si_No;Total
Hombres;Total;Cataluña;Accidente de tráfico;Sí;76,9
Hombres;Total;Cataluña;Accidente de tráfico;No;3.030,30
Hombres;Total;Cataluña;Accidente de tráfico;No consta;0
Hombres;Total;Cataluña;Accidente en casa;TOTAL;3.107,20
Hombres;Total;Cataluña;Accidente en casa;Sí;54,7
Hombres;Total;Cataluña;Accidente en casa;No;3.052,50
Hombres;Total;Cataluña;Accidente en casa;No consta;0
Hombres;Total;Cataluña;Accidente en tiempo libre;TOTAL;3.107,20
Hombres;Total;Cataluña;Accidente en tiempo libre;Sí;90,8
Hombres;Total;Cataluña;Accidente en tiempo libre;No;3.016,40
Hombres;Total;Cataluña;Accidente en tiempo libre;No consta;0
Hombres;Total;Comunitat Valenciana;Accidente de tráfico;TOTAL;2.079,70
Hombres;Total;Comunitat Valenciana;Accidente de tráfico;Sí;68,8
Hombres;Total;Comunitat Valenciana;Accidente de tráfico;No;2.010,90
Hombres;Total;Comunitat Valenciana;Accidente de tráfico;No consta;0
Hombres;Total;Comunitat Valenciana;Accidente en casa;TOTAL;2.079,70
Hombres;Total;Comunitat Valenciana;Accidente en casa;Sí;56,1
Hombres;Total;Comunitat Valenciana;Accidente en casa;No;2.023,70
Hombres;Total;Comunitat Valenciana;Accidente en casa;No consta;0
Hombres;Total;Comunitat Valenciana;Accidente en tiempo libre;TOTAL;2.079,70
Hombres;Total;Comunitat Valenciana;Accidente en tiempo libre;Sí;75,7
Hombres;Total;Comunitat Valenciana;Accidente en tiempo libre;No;2.004,10
Hombres;Total;Comunitat Valenciana;Accidente en tiempo libre;No consta;0
Hombres;Total;Extremadura;Accidente de tráfico;TOTAL;447
Hombres;Total;Extremadura;Accidente de tráfico;Sí;2,7
Hombres;Total;Extremadura;Accidente de tráfico;No;444,3
Hombres;Total;Extremadura;Accidente de tráfico;No consta;0
Hombres;Total;Extremadura;Accidente en casa;TOTAL;447
Hombres;Total;Extremadura;Accidente en casa;Sí;2,9
Hombres;Total;Extremadura;Accidente en casa;No;444,1
Hombres;Total;Extremadura;Accidente en casa;No consta;0
Hombres;Total;Extremadura;Accidente en tiempo libre;TOTAL;447
Hombres;Total;Extremadura;Accidente en tiempo libre;Sí;6
Hombres;Total;Extremadura;Accidente en tiempo libre;No;441
Hombres;Total;Extremadura;Accidente en tiempo libre;No consta;0
