Total Nacional;Comunidades y Ciudades Autónomas;Edades;Sexo;Periodo;Total
Total Nacional;01 Andalucía;De 85 a 89 años;Total;2018;5,898
Total Nacional;01 Andalucía;De 85 a 89 años;Hombres;2021;3,876
Total Nacional;01 Andalucía;De 85 a 89 años;Hombres;2020;17,398
Total Nacional;01 Andalucía;De 85 a 89 años;Hombres;2019;9,862
Total Nacional;01 Andalucía;De 85 a 89 años;Hombres;2018;14,310
Total Nacional;01 Andalucía;De 85 a 89 años;Mujeres;2021;1,092
Total Nacional;01 Andalucía;De 85 a 89 años;Mujeres;2020;1,110
Total Nacional;01 Andalucía;De 85 a 89 años;Mujeres;2019;3,376
Total Nacional;01 Andalucía;De 85 a 89 años;Mujeres;2018;1,153
Total Nacional;01 Andalucía;De 90 a 94 años;Total;2021;0,000
Total Nacional;01 Andalucía;De 90 a 94 años;Total;2020;1,804
Total Nacional;01 Andalucía;De 90 a 94 años;Total;2019;11,435
Total Nacional;01 Andalucía;De 90 a 94 años;Total;2018;2,027
Total Nacional;01 Andalucía;De 90 a 94 años;Hombres;2021;0,000
Total Nacional;01 Andalucía;De 90 a 94 años;Hombres;2020;0,000
Total Nacional;01 Andalucía;De 90 a 94 años;Hombres;2019;30,258
Total Nacional;01 Andalucía;De 90 a 94 años;Hombres;2018;6,480
Total Nacional;01 Andalucía;De 90 a 94 años;Mujeres;2021;0,000
Total Nacional;01 Andalucía;De 90 a 94 años;Mujeres;2020;2,641
Total Nacional;01 Andalucía;De 90 a 94 años;Mujeres;2019;2,782
Total Nacional;01 Andalucía;De 90 a 94 años;Mujeres;2018;0,000
Total Nacional;01 Andalucía;95 y más años;Total;2021;0,000
Total Nacional;01 Andalucía;95 y más años;Total;2020;0,000
Total Nacional;01 Andalucía;95 y más años;Total;2019;0,000
Total Nacional;01 Andalucía;95 y más años;Total;2018;0,000
Total Nacional;01 Andalucía;95 y más años;Hombres;2021;0,000
Total Nacional;01 Andalucía;95 y más años;Hombres;2020;0,000
Total Nacional;01 Andalucía;95 y más años;Hombres;2019;0,000
Total Nacional;01 Andalucía;95 y más años;Hombres;2018;0,000
Total Nacional;01 Andalucía;95 y más años;Mujeres;2021;0,000
Total Nacional;01 Andalucía;95 y más años;Mujeres;2020;0,000
Total Nacional;01 Andalucía;95 y más años;Mujeres;2019;0,000
Total Nacional;01 Andalucía;95 y más años;Mujeres;2018;0,000
Total Nacional;02 Aragón;Todas las edades;Total;2021;3,681
Total Nacional;02 Aragón;Todas las edades;Total;2020;4,883
Total Nacional;02 Aragón;Todas las edades;Total;2019;4,078
Total Nacional;02 Aragón;Todas las edades;Total;2018;5,852
Total Nacional;02 Aragón;Todas las edades;Hombres;2021;6,078
Total Nacional;02 Aragón;Todas las edades;Hombres;2020;7,913
Total Nacional;02 Aragón;Todas las edades;Hombres;2019;6,577
Total Nacional;02 Aragón;Todas las edades;Hombres;2018;9,081
Total Nacional;02 Aragón;Todas las edades;Mujeres;2021;1,337
Total Nacional;02 Aragón;Todas las edades;Mujeres;2020;1,929
Total Nacional;02 Aragón;Todas las edades;Mujeres;2019;1,641
Total Nacional;02 Aragón;Todas las edades;Mujeres;2018;2,703
Total Nacional;02 Aragón;Menores de 1 año;Total;2021;0,000
